frameCount,controlCount,targetContinuousX,x,y,vx,vy,firstTickAt1000,curvatureMeanSquare,curvatureRms,minAngle,maxAngle,minDelta,maxDelta,maxAbsSecondDelta,optimizer,optimizerSuccess,optimizerMessage,optimizerIterations
405,16,1000.01,1000.0108669724634,-360.68493416810526,3.220282916540718,-0.18092940768599303,405,0.00012829052544239113,0.011326540753574815,-90.0,0.0,0.0,1.3106907628194193,0.037039023529040094,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,172
405,24,1000.01,1000.0095130447886,-360.32913645469995,3.2035480230850215,-0.17823094419543825,405,0.00012642809923766706,0.01124402504611525,-90.0,0.0,-7.105427357601002e-15,1.2768593024228352,0.035030549426281254,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,279
405,32,1000.01,1000.0096196817482,-360.3653424340961,3.2061817046607164,-0.178621502568108,405,0.00012650070256629292,0.011247253112039975,-90.0,0.0,4.263256414560601e-14,1.2801488387760287,0.03635294996787053,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,365
405,48,1000.01,1000.0102832268217,-360.3923912870754,3.2073248895867095,-0.17879405110405971,405,0.0001261264437522574,0.011230603000385038,-90.0,0.0,4.263256414560601e-13,1.2807612258694547,0.035647395255729464,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,490
405,64,1000.01,1000.0106712314986,-360.3921075880688,3.2070481898176677,-0.17874933485674327,405,0.00012597134737804514,0.011223695798534685,-90.0,0.0,9.734435479913373e-13,1.2798618068428311,0.03511796645075549,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,447
405,80,1000.01,1000.0111404982065,-360.39640228081623,3.2067038700281447,-0.17869603673798326,405,0.00012598820756411596,0.011224446871187727,-90.0,0.0,1.3855583347321954e-12,1.279329010678083,0.034892735606021574,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,609
405,96,1000.01,1000.0106473027953,-360.39056218170595,3.2069847742724513,-0.17873734045122144,405,0.0001259818957753934,0.011224165705093336,-90.0,0.0,1.7053025658242404e-12,1.2797819834942032,0.03498797066842485,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,634
405,128,1000.01,1000.0108734752243,-360.39701281952216,3.2067398400833986,-0.17870148403886219,405,0.0001259705509339694,0.011223660318005415,-90.0,0.0,1.8758328224066645e-12,1.2793411491282,0.035016053323651875,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,728
405,160,1000.01,1000.0104193714377,-360.3835480375035,3.2069101069560686,-0.17872777861220007,405,0.00012596487952421103,0.011223407660965141,-90.0,0.0,2.0463630789890885e-12,1.279601043221092,0.03499302389080583,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,1072
405,192,1000.01,1000.0104396796982,-360.3775725648942,3.206882853056095,-0.17872942193414088,405,0.00012597464934501428,0.01122384289559571,-90.0,0.0,2.1458390619955026e-12,1.2803639924595842,0.03503719651626369,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,198
405,224,1000.01,1000.00970725635,-360.37077590193496,3.2068326745674813,-0.17871599270841992,405,0.00012596504379239754,0.011223414979069318,-90.0,0.0,2.3021584638627246e-12,1.2795095173897266,0.03498988307615036,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,1339
405,256,1000.01,1000.010153107852,-360.36735794330406,3.2068331132319545,-0.17872027132572416,405,0.00012596682382622724,0.011223494278798703,-90.0,0.0,2.4158453015843406e-12,1.2799859774719522,0.035016665846754336,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,297
405,320,1000.01,1000.0097823522375,-360.3716750464615,3.206874389961808,-0.17872975178981865,405,0.00012597050652883324,0.011223658339812079,-90.0,0.0,2.4940050025179517e-12,1.2800951877848235,0.03501426193969337,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,400
405,400,1000.01,1000.0102307916268,-360.37546882629954,3.2069664390945305,-0.17875228479532462,405,0.0001259726294933303,0.011223752914837813,-90.0,0.0,2.5437429940211587e-12,1.2800561339598033,0.035051731748566795,SLSQP curvature minimization with analytic gradients,True,Optimization terminated successfully,123
