index,angle
0,-90
1,-88.902188862060825
2,-86.706555759635322
3,-83.44121723025323
4,-80.232673632021147
5,-77.110025059700902
6,-74.102095206057456
7,-71.236461212150061
8,-68.538424116027059
9,-66.029984560123467
10,-63.729081009303719
11,-61.648953793320047
12,-59.797859558626222
13,-58.178959044534928
14,-56.790424511200939
15,-55.625749643540097
16,-54.674087579664608
17,-53.920768119127715
18,-53.347737997092537
19,-52.934096680391235
20,-52.656534379588493
21,-52.489840273567424
22,-52.407107532782952
23,-52.380712637965274
24,-52.38064308350252
25,-52.380620935571713
26,-52.380595231281667
27,-52.38057549815025
28,-52.380566782136562
29,-52.380565072135042
30,-52.380564742203049
31,-52.380564640586726
32,-52.380564610101651
33,-52.380564603379902
34,-52.380564602501479
35,-52.380564602431882
36,-52.380564602425373
37,-52.380564602420435
38,-52.380564602414708
39,-52.380564602407581
40,-52.380564602398742
41,-52.380564602387906
42,-52.380564602374712
43,-52.380564602359051
44,-52.380564602340527
45,-52.380564602319062
46,-52.380564602294513
47,-52.38056460226683
48,-52.380564602236127
49,-52.380564602202384
50,-52.38056460216589
51,-52.380564602126768
52,-52.380564602085478
53,-52.38056460204244
54,-52.380564601998074
55,-52.380564601952983
56,-52.380564601907651
57,-52.38056460186268
58,-52.380564601818627
59,-52.380564601776008
60,-52.380564601735379
61,-52.380564601697046
62,-52.380564601659678
63,-52.380564601601741
64,-52.380564601299412
65,-52.380564598533859
66,-52.380564581515294
67,-52.380564503299773
68,-52.38056418951237
69,-52.380563172728259
70,-52.380560056342269
71,-52.380551920293108
72,-52.380531304704512
73,-52.380483982387702
74,-52.380385779486787
75,-52.380195434437432
76,-52.379854436951234
77,-52.379228364022261
78,-52.378072838416465
79,-52.375659901799501
80,-52.371332710271339
81,-52.365940247403891
82,-52.357044033348885
83,-52.344467458285983
84,-52.327514088486033
85,-52.306716001434125
86,-52.281925363163992
87,-52.25315245444061
88,-52.220392589697376
89,-52.18371151181298
90,-52.143390071885804
91,-52.09942129704433
92,-52.052132942471289
93,-52.001635881273785
94,-51.948350417372417
95,-51.892500719365849
96,-51.834369911885162
97,-51.774438997252666
98,-51.712889274038339
99,-51.650301353946851
100,-51.587138986304069
101,-51.523570890069038
102,-51.460258224374478
103,-51.397647208722994
104,-51.336168667186598
105,-51.276305733360729
106,-51.218413357412842
107,-51.162999907656257
108,-51.11065260075862
109,-51.061534753358707
110,-51.016076792830994
111,-50.97447155997461
112,-50.936674410124546
113,-50.902532036558362
114,-50.871660087824068
115,-50.84327192330106
116,-50.816583597445579
117,-50.790429182795187
118,-50.763383474642453
119,-50.733124708794676
120,-50.697649939042776
121,-50.654020852811691
122,-50.599052467316326
123,-50.528955825108717
124,-50.439514498721373
125,-50.326000598737764
126,-50.183195257474885
127,-50.005399772522104
128,-49.786461339674275
129,-49.519815820026373
130,-49.198542935703585
131,-48.815434165846781
132,-48.363079007890356
133,-47.833961389401182
134,-47.220573027226187
135,-46.515537627358036
136,-45.711748013258877
137,-44.802507936309112
138,-43.781688695184691
139,-42.643873051261949
140,-41.384517349936253
141,-40.00008455838573
142,-38.48818348919847
143,-36.847680249639943
144,-35.078781312133458
145,-33.183105911604422
146,-31.163692111844306
147,-29.025002893653834
148,-26.772855428725556
149,-24.414339247766662
150,-21.957683398559837
151,-19.412094937222818
152,-16.787586794523378
153,-14.094781002668839
154,-11.344733044715355
155,-8.5487617795253499
156,-5.7183202124360264
157,-2.8649024659301006
158,-0.9549683351138043
159,4.2632564145606011e-14
